Municipio,Día,Hora,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Escolaridad
VEGACHÍ,Lunes,22,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
CANDELARIA,Lunes,5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,44,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
SOLEDAD,Lunes,1,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,46,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,PRIMARIA
SOLEDAD,Lunes,6,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,TECNICO
CARTAGENA (CT),Lunes,11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CARTAGENA (CT),Lunes,1,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CARTAGENA (CT),Lunes,0,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,SECUNDARIA
CARTAGENA (CT),Lunes,2,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,SECUNDARIA
EL CARMEN DE BOLÍVAR,Lunes,1,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,51,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
SOGAMOSO,Lunes,3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SUPERIOR
MANIZALES (CT),Lunes,4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
SAN LUIS DE PALENQUE,Lunes,8,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
EL TAMBO,Lunes,1,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,ANALFABETA
PAEZ,Lunes,11,RURAL,CARRETERA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,PRIMARIA
POPAYÁN (CT),Lunes,14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
POPAYÁN (CT),Lunes,12,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
POPAYÁN (CT),Lunes,5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
PUERTO TEJADA,Lunes,8,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
EL CARMEN DE ATRATO,Lunes,10,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
MONTERÍA (CT),Lunes,4,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,39,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
MONTERÍA (CT),Lunes,22,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
SAHAGÚN,Lunes,6,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,2,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,2,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,43,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,9,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,4,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
BOGOTÁ D.C. (CT),Lunes,4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BOGOTÁ D.C. (CT),Lunes,12,URBANA,CAÑOS,CONTUNDENTES,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
FACATATIVÁ,Lunes,5,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,38,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
FACATATIVÁ,Lunes,2,URBANA,FRENTE A ALMACEN - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
RIOHACHA (CT),Lunes,5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
ISNOS,Lunes,6,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
PLATO,Lunes,9,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,CONTUNDENTES,A PIE,A PIE,47,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
SANTA MARTA (CT),Lunes,8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
EL TABLÓN DE GÓMEZ,Lunes,7,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,SECUNDARIA
PASTO (CT),Lunes,3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
PASTO (CT),Lunes,7,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
PASTO (CT),Lunes,10,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
SAN ANDRES DE TUMACO,Lunes,5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
SAN ANDRES DE TUMACO,Lunes,9,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,38,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
SAN ANDRES DE TUMACO,Lunes,0,RURAL,FRENTE A DISCOTECAS,ARMA DE FUEGO,A PIE,A PIE,39,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,PRIMARIA
SAN ANDRES DE TUMACO,Lunes,5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR MOTOCICLETA,58,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
PAMPLONA,Lunes,8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
MONTENEGRO,Lunes,1,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,45,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BUCARAMANGA (CT),Lunes,15,URBANA,CANCHA DE FUTBOL,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,43,MASCULINO,CASADO,COLOMBIA,DESEMPLEADO,SECUNDARIA
FLORIDABLANCA,Lunes,2,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,26,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
PIEDECUESTA,Lunes,6,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,50,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
SANTIAGO DE TOLÚ,Lunes,2,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
SINCELEJO (CT),Lunes,9,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
SINCELEJO (CT),Lunes,2,URBANA,VIAS PUBLICAS,CUERDA/SOGA/CADENA,A PIE,A PIE,42,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BUENAVENTURA,Lunes,5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,PASAJERO MOTOCICLETA,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
CALI (CT),Lunes,21,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,35,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Lunes,19,URBANA,TIENDA,ARMA DE FUEGO,A PIE,A PIE,39,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Lunes,15,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Lunes,12,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR MOTOCICLETA,27,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Lunes,17,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
CALI (CT),Lunes,2,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Lunes,6,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Lunes,5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
CALI (CT),Lunes,21,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
CALI (CT),Lunes,22,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
LA UNIÓN,Lunes,18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR MOTOCICLETA,47,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
LA VICTORIA,Lunes,19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,28,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BARBOSA,Martes,15,URBANA,TIENDA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
HISPANIA,Martes,16,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
MEDELLÍN (CT),Martes,19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,36,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,ANALFABETA
MEDELLÍN (CT),Martes,3,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
SALGAR,Martes,7,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,SECUNDARIA
SALGAR,Martes,19,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,54,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,PRIMARIA
YARUMAL,Martes,19,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,CONDUCTOR MOTOCICLETA,32,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
SANTA ROSA,Martes,16,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
TIQUISIO,Martes,14,RURAL,CAÑOS,ARMA DE FUEGO,A PIE,A PIE,46,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,PRIMARIA
AGUADAS,Martes,19,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,54,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
CARTAGENA DEL CHAIRÁ,Martes,23,RURAL,"BARES, CANTINAS Y SIMILARES",ARMA DE FUEGO,A PIE,A PIE,55,MASCULINO,CASADO,COLOMBIA,COMERCIANTE,PRIMARIA
VALLEDUPAR (CT),Martes,11,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PUBLICO,SUPERIOR
SAN JOSÉ DEL PALMAR,Martes,15,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,SECUNDARIA
MONTERÍA (CT),Martes,3,RURAL,GALLERA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,SECUNDARIA
BOGOTÁ D.C. (CT),Martes,1,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,52,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BOGOTÁ D.C. (CT),Martes,2,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,70,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
BOGOTÁ D.C. (CT),Martes,17,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,50,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
BOGOTÁ D.C. (CT),Martes,22,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
VERGARA,Martes,21,RURAL,FINCAS Y SIMILARES,CONTUNDENTES,A PIE,A PIE,57,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,PRIMARIA
PALERMO,Martes,20,RURAL,BOSQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR MOTOCICLETA,37,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
ZONA BANANERA,Martes,5,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
PUERTO CONCORDIA,Martes,9,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,23,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
BARBACOAS,Martes,23,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,PRIMARIA
BARBACOAS,Martes,23,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,PRIMARIA
PASTO (CT),Martes,7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,PRIMARIA
SAN ANDRES DE TUMACO,Martes,13,URBANA,CARRETERA,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
ARMENIA (CT),Martes,21,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALARCA,Martes,23,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,PRIMARIA
PEREIRA (CT),Martes,20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Martes,20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
CALI (CT),Martes,1,URBANA,CAÑOS,ARMA DE FUEGO,A PIE,A PIE,21,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CALI (CT),Martes,19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
CALI (CT),Martes,1,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
RIOFRÍO,Martes,19,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,CASADO,COLOMBIA,COMERCIANTE,SECUNDARIA
YUMBO,Martes,22,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
CHIGORODÓ,Miércoles,22,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA
BARRANQUILLA (CT),Miércoles,15,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,21,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
CALOTO,Miércoles,21,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,42,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,PRIMARIA
POPAYÁN (CT),Miércoles,15,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,SECUNDARIA
PUERTO TEJADA,Miércoles,20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,PRIMARIA
SAN ALBERTO,Miércoles,21,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SECUNDARIA
MEDIO ATRATO,Miércoles,21,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
NÓVITA,Miércoles,16,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
SOACHA,Miércoles,20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA
VILLAVICENCIO (CT),Miércoles,13,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,SECUNDARIA
PASTO (CT),Miércoles,1,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,PRIMARIA
